(services),"(price, what the client pays in mxn)",(lab test instructions),
CR RODILLA 2 PROYECCIONES,725.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR RODILLA 3 PROYECCIONES,966.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR RODILLA 4 PROYECCIONES,"1,288.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR RODILLA 5 PROYECCIONES,"1,690.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR RODILLA 6 PROYECCIONES,"1,851.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR RODILLAS TANGENCIALES 3 ÁNGULOS 3 PROYECCIONES,886.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR RODILLAS TANGENCIALES 3 ÁNGULOS 6 PROYECCIONES,"1,207.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR SACROCOXIGEA 2 PROYECCIONES,"1,288.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR SENOS PARANASALES 1 PROYECCIÓN,966.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR SENOS PARANASALES 2 PROYECCIONES,"1,127.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR SENOS PARANASALES 3 PROYECCIONES,"1,288.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR SERIE ÓSEA,"3,059.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\nPREVIA CITA\n\n",
CR TOBILLO 1 PROYECCIÓN,725.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR TOBILLO 2 PROYECCIONES,"1,368.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR TÓRAX 1 PROYECCIÓN,588.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR TÓRAX 2 PROYECCIONES,"1,288.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA\n\n",
CR TÓRAX ÓSEO 1 PROYECCIÓN,862.00,"ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA",
CR TÓRAX ÓSEO 2 PROYECCIONES,"1,127.00","ACUDIR 15 MIN ANTES DE SU CITA, TRAER ROPA CÓMODA.\nEN CASO DE EMBARAZO AVISAR AL PERSONAL\n\n",
CREATINA CINASA  (CK),306.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
CREATINA CINASA MB (CK-MB),353.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
CREATININA,118.00,\nAYUNO MÍNIMO DE 4 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.,
CREATININA EN ORINA DE 24 HRS,118.00,"RECOLECTAR MUESTRA A PARTIR DE LA 2DA ORINA DE LA MAÑANA HASTA LA 1RA DEL SIGUIENTE DIA. TRAER MUESTRA EN UN ENVASE PARA RECOLECCION DE MUESTRAS DE 24 HRS. O EN ALGUN ENVASE CON TAPARROSCA LIMPIO QUE SOLO CONTENGA AGUA SIMPLE,NO SE ACEPTA OTRO TIPO DE ENVASE,TRAER PESO Y TALLA  DE PREFERENCIA QUE SEAN DEL MISMO DIA\n**NO SE ACEPTARA ENVASES DE REFRESCO O ALGUN OTRO QUE CONTENGAN  AZÛCARES U OTRO \n***IMPORTANTE VENIR EN AYUNO DE 8 A 12 HRS MAXIMO,YA QUE SE TOMARA UNA MUESTRA SANGUINEA",
CREATININFOSFOQUINASA (CPK),131.00,,
CRIOAGLUTININAS (AGLUTININAS FRIAS),306.00,AYUNO MINIMO DE 8HRS MAXIMO 12. ,
CRIOGLOBULINAS,278.00,AYUNO MINIMO DE 8HRS MAXIMO 12.,
CROMO EN ORINA,604.00,"TRAER UNA MUESTRA DE ORINA O RECOLECTAR EN EL LABORATORIO EN UN FRASCO ESTERIL ,EL CUAL QUE SE LE PROPORCIONARA EN EL LABORATORIO O SE COMPRARA EN LA FARMACIA,NO PUEDE PASAR MAS DE DOS HORAS DESDE LA RECOLECCION DE LA MUESTRA HASTA LLEVARLA AL LABORATORIO.\n*NO SE ACEPTAN ENVASES DE NINGUN TIPO QUE NO SEAN EL ADECUADO\n\n",
CROMO EN SUERO,604.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
CUANTIFICACION BETA HGC,0.00,,
CUENTA DE PLAQUETAS,118.00,AYUNO NO INDISPENSABLE,
CULTIVO  MICROBIOLOGICO DE UÑAS,606.00,,
CULTIVO DE EXPECTORACION,334.00,1. SIN TOMAR ANTIBIÓTICOS 7 DÍAS ANTES DE LA RECOLECCIÓN DE LA MUESTRA\n2. RECOLECTAR FLEMA ( NO SALIVA) EN UN RECIPIENTE ESTÉRIL. EL PACIENTE DEBE TOSER FUERTEMENTE PARA QUE LA MUESTRA PROVENGA DEL PULMÓN\n3. AYUNO  Y SIN LIMPIEZA BUCAL,
CULTIVO DE EXUDADO FARINGEO,353.00,1. SIN TOMAR ANTIBIÓTICOS 7 DÍAS ANTES DE LA TOMA DEL ESTUDIO\n2. SIN ASEO BUCAL\n3. AYUNO MÍNIMO DE 8 HORAS,
CULTIVO DE EXUDADO NASAL,388.00,NO TOMAR ANTIBIÓTICO 7 DÍAS ANTES DEL ESTUDIO Y SIN ASEO NASAL,
CULTIVO DE EXUDADO URETRAL,443.00,"1. Abstinencia sexual de 4 días\n2. Aseo personal\n3. No aplicar cremas, ni antibióticos 7 días antes de la toma de la muestra",
CULTIVO DE EXUDADO VAGINAL,443.00,"ABSTINENCIA SEXUAL DE 3 DÍAS, NO ESTAR MENSTRUANDO, NO APLICARSE ÓVULOS,  CREMAS, NI DUCHAS VAGINALES, BAÑO NORMAL, NO ESTAR TOMANDO ANTIBIÓTICO 7 DÍAS ANTES DE LA TOMA DEL ESTUDIO\n",
CULTIVO DE HERIDAS Y ABSCESOS,412.00,SIN ANTIBIÓTICOS 7 DÍAS ANTES Y SIN TÓPICOS,
CULTIVO DE LIQUIDOS CORPORALES,443.00,,
CULTIVO DE MYCOBACTERIUM TUBERCULOSIS,353.00,,
CULTIVO DE SEMEN,412.00,"1. ASEO GENITAL PREVIO A LA RECOLECCIÓN\n2. ABSTINENCIA SEXUAL DE 3 DÍAS\n3. RECOLECTAR LA MUESTRA EN UN FRASCO ESTÉRIL\n4. NO REFRIGERAR, ENTREGAR A LA BREVEDAD EN EL LABORATORIO",
CULTIVO MICOLÓGICO,353.00,1. IDEALMENTE ACUDIR SIN TRATAMIENTO MÉDICO,
CULTIVO MICROBIOLÓGICO DE SUPERFICIE VIVA-MANOS,271.00,,
CULTIVO MICROBIOLÓGICO DE SUPERFICIES INERTES,610.00,,
CULTIVO NESSERA GONORRHOEAE,610.00,,
D-XILOSA EN SANGRE,406.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
D-XILOSA EN SANGRE A LOS 120 MINUTOS,556.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
D-XILOSA EN SANGRE A LOS 60 MINUTOS,556.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
DEHIDROEPIANDROSTERONA SULFATO (DHEA-S),243.00,AYUNO MINIMO DE 8 HRS,
DEHIDROEPIANDROSTERONA TOTAL  (DHEA),381.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
DEHIDROTESTOSTERONA (DTH),298.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
Densitometria suc imed,580.00,,
DEPURACIÓN DE CREATININA EN ORINA DE 24 HRS,212.00,"1. RECOLECTAR A PARTIR DE LA SEGUNDA ORINA DE LA MAÑANA TERMINANDO CON LA PRIMERA ORINA DEL DÍA SIGUIENTE .\n2. RECOLECTAR EN UN CONTENEDOR DE AGUA VACÍO Y SECO.\n3. CONSERVAR EL RECIPIENTE EN UN LUGAR FRESCO, NO REFRIGERAR.\n4. ACUDIR CON AYUNO DE 8  A 12 HORAS\n5. PESO Y TALLA RECIENTE DEL PACIENTE",
DEPURACIÓN DE UREA EN ORINA 24 HRS,175.00,AYUNO MÍNIMO DE 8 HRS MÁXIMO DE 12.\nRECOLECTAR ORINA DE 24 HRS. A PARTIR DE LA 2A. ORINA DE LA MAÑANA HASTA LA 1A. DEL DÍA SIGUIENTE,
DESHIDROGENASA BUTIRICA,0.00,,
DESHIDROGENASA LÁCTICA,152.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR LA NOCHE ANTERIOR LA INGESTA DE ALIMENTOS RICOS EN GRASA.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.\nEVITAR USO DE LAXANTES, ANTIÁCIDOS O INFUSIONES QUE CONTENGAN FOSFATO.",
DETECCIÓN Y GENOTIPIFICACIÓN DEL VPH POR PCR,"3,515.15","Para el caso de pacientes femeninos, se\nrecomienda no estar menstruando al momento de la\ntoma y sin aplicacion de ovulos ni duchas vaginales 3 días previos",
DETENCION ANTIGENO HLA-B-27,"1,193.00",,
"DIAZEPAM (VALIUM, ALBORAL)",263.00,1. AYUNO DE 8 HORAS.\n2. ANOTAR FECHA DE ÚLTIMA DOSIS,
DIGOXINA,273.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
DIMERO D,799.00,AYUNO MINIMO DE 8 HRS.,
DIÓXIDO DE CARBONO (CO2),118.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
DOPAMINA EN ORINA 24 HRS,338.00,RECOLECTAR MUESTRA A PARTIR DE LA 2DA ORINA HASTA LA 1RA DEL SIGUIENTE DIA. TRAER MUESTRA EN ENVASE DE AGUA.,
DOPAMINA EN PLASMA,338.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
DOPPLER EXTRA,0.00,,
DÚO MARCADOR GESTACIONAL,475.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12.\nES IMPORTANTE PRESENTAR EL ÚLTIMO ULTRASONIDO REALIZADO Y QUE TENGA UNA SEMANA COMO MÁXIMO ANTES DE REALIZAR LA TOMA DEL ESTUDIO\nEN CASO DE SOLICITAR EL ESTUDIO SERA NECESARIO LLENAR UNA SOLICITUD .\nSolo se realizara el estudio si la paciente se encuentra entre las semanas 10.5 a 13.5.,
ECOCARDIOGRAMA,"4,830.00",PREVIA CITA,
EJE MECÁNICO,"1,425.00",PREVIA CITA\nROPA CÓMODA LISA Y SIN NINGÚN METAL\n,
Elastasa pancreática,0.00,"Material fecal reciente 5 gr, no enviar muestras líquidas. Recoger las heces sin diluir en frasco limpio, seco y estéril. No agregue fijador o conservante. No recolectar en formalina o Cary-blair.",
ELECTROCARDIOGRAMA,482.00,"EVITAR ACTIVIDAD FÍSICA INTENSA 24 HORAS PREVIAS AL ESTUDIO, NO COLOCARSE CREMA, POMADA O TALCO EN LA ZONA DEL PECHO. EN CASO DE PACIENTES MASCULINOS ACUDIR CON EL PECHO DEPILADO",
ELECTROENCEFALOGRAMA,"2,600.00",,
ELECTROFORESIS DE HEMOGLOBINA,0.00,,
ELECTROFORESIS DE LIPOPROTEÍNAS,388.00,AYUNO DE 8 HORAS,
"ELECTROLITOS (Na, K, Cl) EN ORINA DE 24 HRS.",282.00,"1. RECOLECTAR A PARTIR DE LA SEGUNDA ORINA DE LA MAÑANA TERMINANDO CON LA PRIMERA ORINA DEL DÍA SIGUIENTE.\n2. RECOLECTAR EN UN CONTENEDOR DE AGUA VACÍO Y SECO.\n3. CONSERVAR EL RECIPIENTE EN UN LUGAR FRESCO, NO REFRIGERAR.\n",
"ELECTROLITOS SÉRICOS (Na, K)",247.00,AYUNO DE 8 HORAS ,
"ELECTROLITOS SÉRICOS (Na, K, CL)",306.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
"ELECTROLITOS SÉRICOS (Na, K, Cl, Ca)",341.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
"ELECTROLITOS SÉRICOS (NA, K, Cl, CO2)",341.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
"ELECTROLITOS SÉRICOS (Na, K, Cl, Li)",376.00,AYUNO  DE 8 HORAS,
"ELECTROLITOS SÉRICOS (Na, K, Li)",341.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
ELECTROMIOGRAFIA AMBOS MIEMBROS suc imedi,"5,000.00",,
Enfermera Hemodiamia Nocturna,0.00,,
Enfermera Hemodiamia Urgente,0.00,,
Enfermera Hemodinamia,0.00,,
EOSINOFILÓS EN MOCO FECAL,0.00,Recolectar muestra de Heces del tamaño de una nuez en un frasco estéril,
Eosinofilos en moco nasal,86.00,,
EOSINOFILÓS EN MOCO NASAL,127.00,,
EOSINÓFILOS EN MOCO NASAL 1 MUESTRA,124.00,,
ERITROPOYETINA (EPO),"1,040.00",AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
ESOFAGOGRAMA,692.00,"AYUNO DE 6 A 8 HORAS, ACUDIR CON ROPA CÓMODA SIN NINGÚN TIPO DE METAL\nPREVIA CITA",
ESPECIALIDAD,"1,100.00",,
ESPECIALISTA A DOMICILIO CARDIO 1 A 10 KM,0.00,ESPECIALISTA A  DOMICILIO CARDIO 1 A 10 KM,
ESPECIALISTA A DOMICILIO CARDIOLOGÍA 5 KM ADICIONAL,0.00,ESPECIALISTA A DOMICILIO CARDIOLOGÍA 5 KM ADICIONAL,
ESPIROMETRÍA,564.00,"1. Realizar previa cita\n2.  Ayuno mínimo  de 2 horas antes de la realización del estudio\n3. No fumar, no tomar bebidas alcoholicas ni cafe 4 horas antes de la toma del estudio\n4.  No realizar ejercicio intenso 1 hora antes de la realización del estudio\n5. No utilizar medicamentos para alergía o para los pulmones 8 horas antes del estudio\n6. No haber presentado gripa o dolor de garganta 15 días antes de realizar el estudio\n7. Si al momento de tomar el estudio tiene tos no se podrá realizar\n8. Sólo se realiza en niños mayores de 10  años\n9. No estar diagnósticado con tuberculosis o estar tomando médicamentos\n10. No haber tenido cirugía de ojos, abdomen y tórax en los últimos 3 meses\n11. En caso de mujeres tener embarazo de alto riesgo\n12. Si esta diagnósticado con aneurisma cerebral, abdominal o tarácico no se podrá realizar el estudio\n13. Si el paciente tiene sonda pleural, parálisis facial o traqueostomía no se podrá realizar el estudio\n14. Paciente con oxígeno si se puede realizar el estudio\n15. Si usa broncodilatador tiene que presentar la receta y traer el médicamento. No aplicar el médicamento el día del estudio.",
ESPIROMETRÍA CON BRONCODILATADOR,909.00,"Realizar previa cita\n2.  Ayuno mínimo  de 2 horas antes de la realización del estudio\n3. No fumar, no tomar bebidas alcoholicas ni cafe 4 horas antes de la toma del estudio\n4.  No realizar ejercicio intenso 1 hora antes de la realización del estudio\n5. No utilizar medicamentos para alergía o para los pulmones 8 horas antes del estudio\n6. No haber presentado gripa o dolor de garganta 15 días antes de realizar el estudio\n7. Si al momento de tomar el estudio tiene tos no se podrá realizar\n8. Sólo se realiza en niños mayores de 10  años\n9. No estar diagnósticado con tuberculosis o estar tomando médicamentos\n10. No haber tenido cirugía de ojos, abdomen y tórax en los últimos 3 meses\n11. En caso de mujeres tener embarazo de alto riesgo\n12. Si esta diagnósticado con aneurisma cerebral, abdominal o tarácico no se podrá realizar el estudio\n13. Si el paciente tiene sonda pleural, parálisis facial o traqueostomía no se podrá realizar el estudio\n14. Paciente con oxígeno si se puede realizar el estudio\n15. Si usa broncodilatador tiene que presentar la receta y traer el médicamento. No aplicar el médicamento el día del estudio.\n16. El broncodilatador será recetado por el Médico General del Laboratorio y se cobrará aparte",
ESTERES DE COLESTEROL,0.00,,
ESTRADIOL (E2),271.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
ESTRIOL SÉRICO NO CONJUGADO (uE3),329.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
ESTROGENOS TOTALES,235.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
ESTRONA,399.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
estudio doppler ,0.00,,
ESTUDIO URGENTE,300.00,,
ESTUDIOS DE REVISION MEDICA ESPECIFICA,0.00,,
EVALUACION MEDICACONVENIO ESCOBEDO NL,0.00,EVALUACION MEDICA CONVENIO ESCOBEDO MTY,
FACTOR II DE LA COAGULACIÓN,387.00,,
FACTOR IX DE LA COAGULACIÓN,264.00,AYUNO MÍNIMO DE 4 HORAS,
FACTOR REUMATOIDE CUANTITATIVO,225.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
FACTOR RH,0.00,,
FACTOR V DE LA COAGULACIÓN,264.00,AYUNO MÍNIMO DE 4 HORAS,
FACTOR VII DE LA COAGULACIÓN,298.00,AYUNO MÍNIMO DE 4 HORAS,
FACTOR VIII DE LA COAGULACIÓN,264.00,AYUNO MÍNIMO DE 4 HORAS,
FACTOR VON WILLEBRAND ANTIGÉNICO,"1,085.00",AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
FACTOR X DE LA COAGULACIÓN,264.00,AYUNO MÍNIMO DE 4 HORAS,
FACTOR XI DE LA COAGULACIÓN,298.00,AYUNO MÍNIMO DE 4 HORAS,
FACTOR XII DE LA COAGULACIÓN,298.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
FACTOR XIII DE LA COAGULACIÓN,264.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
FENILALANINA EN SUERO,385.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
FENILALANINA NEONATAL,385.00,AYUNO DE 4 HORAS,
FENILCETONURIA,0.00,,
FENITOINA (DIFENILHIDANTOINA O DFH),341.00,AYUNO MINIMO DE 8 HRS MAXIMO DE 12.,
FENOBARBITAL,251.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
FERRITINA,376.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
FIBRINOGENO,260.00,,
FILMARRAY PANEL RESPIRATORIO,"7,500.00","Ayuno de 4 a 6 horas, sin aseo bucal, sin consumir antibióticos 7 días antes",
Fisioterapia y Rehabilitacion Fisica CDMX,0.00,Fisioterapia y Rehabilitacion Fisica en  CDMX ,
FMS SOLUBLE SIMILAR A LA TIROSINA QUINASA TIPO 1,407.00,,
FOSFATASA ÁCIDA  FRACCIÓN PROSTATICA,212.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
FOSFATASA ACIDA TOTAL,146.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
FOSFATASA ALCALINA (ALP),131.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR LA NOCHE ANTERIOR COMIDAS RICAS EN GRASAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.\n",
FOSFOLÍPIDOS,184.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
FÓSFORO,146.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
FÓSFORO EN ORINA DE 24 HRS,118.00,RECOLECTAR MUESTRA A PARTIR DE LA 2DA ORINA HASTA LA 1RA DEL SIGUIENTE DIA. TRAER MUESTRA  EN ENVASE DE AGUA.,
FRACCIÓN BETA DE HGC SÉRICA (CUANTITATIVA),499.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12 HORAS,
FRACCIÓN BETA LIBRE DE HGC (CUANTITATIVA) POR RIA,"1,199.00",AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
FRACCIÓN BETA LIBRE DE HGC SÉRICA (CUANTITATIVA),264.00,AYUNO DE 8 HORAS,
FRAGILIDAD OSMÓTICA DE ERITROCITOS,400.00,AYUNO MÍNIMO DE 4 HORAS,
FROTIS DE SANGRE PERIFÉRICA,118.00,AYUNO MÍNIMO DE 4 HORAS,
FRUCTOSA EN SEMEN,0.00,Muestra de esperma en frasco estéril.,
FRUCTOSAMINA,0.00,,
GABAPENTINA,"1,106.00",AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
GALACTOMANANO,"1,492.00",AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
GALACTOSA TOTAL,306.00,,
GALACTOSA URIDIL TRANSFERASA,306.00,AYUNO MÍNIMO DE 4 HORAS,
GAMMA GLUTAMILTRANSFERASA,146.00,AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL  O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.,
GAMMA GLUTAMILTRASFERASA,0.00,,
GASTRINA,329.00,AYUNO MINIMO DE 8 HRS ,
GLOBULINA,0.00,"AYUNO DE 8 A 12 HORAS. EVITAR LA NOCHE ANTERIOR LA INGESTA DE ALIMENTOS RICOS EN GRASA. EVITAR REALIZAR EJERCICIO FÍSICO. EVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
GLOBULINA FIJADORA DE HORMONA SEXUAL (SHBG),"1,489.00",AYUNO MÍNIMO DE 8 HORAS,
GLOBULINA TRANSPORTADORA DE HORMONAS SEXUALES,0.00,AYUNO DE 8 HORAS.,
GLUCAGON,387.00,1. AYUNO DE 8 HORAS.\n2. SIN ACTIVIDAD FÍSICA 24 HORAS ANTES,
GLUCAGÓN A LOS 120 MIN.,376.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
GLUCAGÓN A LOS 30 MIN.,376.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
GLUCAGÓN A LOS 60 MIN.,376.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
GLUCAGÓN A LOS 90 MIN.,376.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
GLUCOSA,0.00,AYUNO MÍNIMO 8 HRS MÀXIMO DE 12 HRS,
GLUCOSA,87.00,AYUNO DE 8 HORAS,
Glucosa,87.00,,
GLUCOSA 120,87.00,*AYUNO DE 8 HRS A 12 HRS.\n*DISPONIBILIDAD DE TIEMPO.\n*DE PREFERENCIA TRAER UN ACOMPAÑANTE.\n*TRAER ORDEN MEDICA CON LA CARGA DE GLUCOSA QUE SE LE TIENE QUE ADMINISTAR .\n,
GLUCOSA 180,87.00,*AYUNO DE 8 HRS A 12 HRS.\n*DISPONIBILIDAD DE TIEMPO.\n*DE PREFERENCIA TRAER UN ACOMPAÑANTE.\n*TRAER ORDEN MEDICA CON LA CARGA DE GLUCOSA QUE SE LE TIENE QUE ADMINISTAR .\n,
GLUCOSA 240 MIN,87.00,*AYUNO DE 8 HRS A 12 HRS.\n*DISPONIBILIDAD DE TIEMPO.\n*DE PREFERENCIA TRAER UN ACOMPAÑANTE.\n*TRAER ORDEN MEDICA CON LA CARGA DE GLUCOSA QUE SE LE TIENE QUE ADMINISTAR .\n,
GLUCOSA 30 MIN,87.00,*AYUNO DE 8 HRS A 12 HRS.\n*DISPONIBILIDAD DE TIEMPO.\n*DE PREFERENCIA TRAER UN ACOMPAÑANTE.\n*TRAER ORDEN MEDICA CON LA CARGA DE GLUCOSA QUE SE LE TIENE QUE ADMINISTAR .\n,
GLUCOSA 6 FOSFATO DESHIDROGENASA,318.00,AYUNO DE 8 HORAS,
GLUCOSA 60 MIN,87.00,,
GLUCOSA 75 GR,148.00,,
GLUCOSA 90 MIN,87.00,,
GLUCOSA CAPILAR,58.00,*AYUNO DE 8 HRS A 12 HRS.,
GLUCOSA POSTPANDRIAL,87.00,*AYUNO DE 8 HRS \n*ÚNICAMENTE ANTES DE 10 AM \n*DISPONIBILIDAD DE TIEMPO.,
GOTA GRUESA (INVESTIGACION DE PLASMODIUM SP),131.00,,
GRASAS EN HECES,282.00,,
GRUPO SANGUÍNEO,87.00,,
GRUPO SANGUÍNEO Y FACTOR RH ESCUELA,0.00,Ayuno no indispensable,
HAPTOGLOBINA,0.00,,
HELICOBACTER PYLORI EN ALIENTO,"3,433.00","Presentarse con ayuno de 10 horas (incluso agua simple). - No tomar Pepto Bismol (sales de bismuto en cualquier presentación) al menos 1 mes antes de la toma del estudio. - No tomar medicamentos inhibidores de la bomba de protones como Losec, Ulsen, Omeprazol, Lanzoprazol, Pantoprazol, Rabeprazol, Esomeprazol 7 días antes del estudio. Pantoprazol, Rabeprazol, Esomeprazol. - No tomar medicamentos inhibidores de la bomba de hidrógenos Azantac, Tagamet (ranitidina) ni antiácidos (melox, tums, rollaids) al menos 24 horas antes de la toma del estudio. - No utilizar lápiz labial.",
HEMOCULTIVO AEROBIO,986.00,,
HEMOCULTIVO ANAEROBIO,986.00,SIN ESTAR TOMANDO ANTIBIÓTICO 7 DÍAS ANTES,
HEMOGLOBINA GLICOSILADA (HbA1c),399.00,AYUNO DE 8 HORAS,
HEMOGLOBINA GLUCOSILADA EXPRESS,349.00,Ninguna,
HIDROXIPROLINA,284.00,RECOLECTAR MUESTRA A PARTIR DE LA 2DA ORINA HASTA LA 1RA DEL SIGUIENTE DIA. TRAER MUESTRA EN ENVASE DE AGUA.,
HIERRO,175.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
HISTAMINA,"2,953.00",,
HOLTER,"1,437.00","PREVIA CITA\nZONA DEL PECHO DEPILADA, ROPA CÓMODA",
HOLTER CONVENIO ADN ,0.00,,
HOMOCISTEÍNA,"1,215.00",AYUNO DE 12 HRS.,
horas de consultoria y asesoria,0.00,,
HORMONA ADRENOCORTICOTROFICA (ACTH),243.00,AYUNO MÍNIMO DE 4 HORAS,
HORMONA ANTI -  MULLERIANA AMH/MIS,"3,712.00",AYUNO MÍNIMO DE 8 A 12 HORAS,
HORMONA ANTI-DIURETICA (VASOPRESINA),359.00,,
HORMONA DE CRECIMIENTO A LOS 120 MIN.,282.00,"AYUNO DE 10 HORAS, NO HABER REALIZADO ACTIVIDAD FÍSICA 48 HORAS PREVIAS AL ESTUDIO",
HORMONA DE CRECIMIENTO A LOS 150 MIN.,282.00,"AYUNO DE 10 HORAS, NO HABER REALIZADO ACTIVIDAD FÍSICA 48 HORAS PREVIAS AL ESTUDIO",
HORMONA DE CRECIMIENTO A LOS 180 MIN.,282.00,"AYUNO DE 10 HORAS, NO HABER REALIZADO ACTIVIDAD FÍSICA 48 HORAS PREVIAS AL ESTUDIO",
HORMONA DE CRECIMIENTO A LOS 210 MIN.,282.00,"AYUNO DE 10 HORAS, NO HABER REALIZADO ACTIVIDAD FÍSICA 48 HORAS PREVIAS AL ESTUDIO",
HORMONA DE CRECIMIENTO A LOS 240 MIN.,282.00,"AYUNO DE 10 HORAS, NO HABER REALIZADO ACTIVIDAD FÍSICA 48 HORAS PREVIAS AL ESTUDIO",
HORMONA DE CRECIMIENTO A LOS 30 MIN.,282.00,"AYUNO DE 10 HORAS, NO HABER REALIZADO ACTIVIDAD FÍSICA 48 HORAS PREVIAS AL ESTUDIO",
HORMONA DE CRECIMIENTO A LOS 60 MIN.,282.00,"AYUNO DE 10 HORAS, NO HABER REALIZADO ACTIVIDAD FÍSICA 48 HORAS PREVIAS AL ESTUDIO",
